Fecha,Dosificación de Floculante (m3/h),PP-501 Flujo de Alimentacion (m3/h),PP-543 Flujo de Alimentacion (m3/h),PP-544 Flujo de Alimentacion (m3/h),PP-501 Densidad de Alimentacion (t/m3),PP-543 Densidad de Alimentacion (t/m3),PP-544 Densidad Alimentación (t/m3),PP-502 Flujo de Descarga (m3/h),PP-503 Flujo de Descarga (m3/h),PP-504 Flujo de Descarga (m3/h),PP-502 Densidad de Descarga (t/m3),PP-503  Densidad de Descarga (t/m3),PP-504  Densidad de Descarga (t/m3),Velocidad de Descarga PP-502 (%),Velocidad de Descarga PP-503 (%),Velocidad de Descarga PP-504 (%),Solidos de Alimentacion 1 (%),Solidos de Alimentacion 2 (%),Solidos de Alimentacion 3 (%),Solidos de descarga 1 (%),Solidos de descarga 2 (%),Solidos de descarga 3 (%),DMT IN (DMT/h),DMT OUT (DMT/h),Balance,Dosificación de Floculante (l/min),Dosificación de Floculante (g/t)
2024-01-01 00:00:00,0.6239414215087891,209.2362823486328,207.77447509765625,0,1.834641695022583,1.9681169986724854,1.8755903244018555,110.47706604003906,3.90244460105896,109.88611602783203,2.260498285293579,1,2.262587070465088,78.96065521240234,0.07629510760307312,81.7120590209961,59.279336326955935,64.09607696086569,60.82995368935921,72.65953145555942,0,72.71274703660742,489.662274044096,362.23843909116306,127.42383495293296,10.394864082336426,1.910577589904403
2024-01-01 01:00:00,0.6357279419898987,213.56192016601562,212.0927734375,0,1.834943175315857,1.976565957069397,1.8703677654266357,119.54337310791016,3.720149517059326,119.26897430419922,2.258545160293579,1,2.250070571899414,84.00606536865234,0.07629510760307312,86.08401489257812,59.291005486185135,64.379082844061,60.635966578101396,72.6096830130019,0,72.39238877455858,502.2330288262656,390.31669240311453,111.91633642315105,10.591227513551711,1.8979446223346501
2024-01-01 02:00:00,0.6253141760826111,210.83665466308594,210.19302368164062,0,1.8289971351623535,1.9599226713180542,1.8635735511779785,115.24346160888672,3.958979606628418,115.533203125,2.2636098861694336,1,2.23325777053833,81.0879135131836,0.07629510760307312,83.74913787841797,59.06014654014034,63.81926938229914,60.381974479574986,72.73876929711376,0,71.9564157643868,490.6587076962402,375.409542737032,115.2491649592082,10.417734173536301,1.9108925632248628
2024-01-01 03:00:00,0.6266021132469177,210.30319213867188,213.58816528320312,0,1.8193697929382324,1.9520995616912842,1.9554475545883179,109.67501831054688,4.262577533721924,108.99445343017578,2.269921064376831,1,2.2456374168395996,79.32211303710938,0.07629510760307312,81.42733764648438,58.6831590658617,63.55283330481124,63.6671187454518,72.89881817074507,0,72.27806628795238,489.5136698926161,358.39351432093065,131.12015557168547,10.43919120669365,1.9193073991345966
2024-01-01 04:00:00,0.613355815410614,209.76974487304688,189.34156799316406,0,1.8199397325515747,1.9447826147079468,1.7638436555862427,109.15025329589844,4.071106910705566,109.62101745605469,2.2816972732543945,1,2.2430033683776855,79.43809509277344,0.06215539202094078,81.08604431152344,58.70558783149084,63.30169590319649,56.4285517514027,73.19509059936465,0,72.20992525465242,457.2140096416482,359.8407777755005,97.3732318661477,10.218507884740829,2.011455664596724
2024-01-01 05:00:00,0.6173087954521179,210.56993103027344,213.4126739501953,0,1.821236252784729,1.9569478034973145,1.4627118110656738,110.61711883544922,3.9453747272491455,110.69969940185547,2.2630391120910645,1,2.248645067214966,78.9811019897461,0.07629510760307312,81.7120590209961,58.756557348852745,63.718203630513926,41.21984295384449,72.72425068457758,0,72.35567693773658,491.44107210283164,362.16213302185054,129.2789390809811,10.284364532232285,1.8834258275165692
2024-01-01 06:00:00,0.6185102462768555,210.83665466308594,206.45455932617188,0,1.830412745475769,1.9678963422775269,1.8700695037841797,110.2525405883789,4.014538288116455,110.29987335205078,2.250516653060913,1,2.224478006362915,78.96696472167969,0.07629510760307312,81.58477783203125,59.115244583607016,64.08865330376962,60.6248552195077,72.40386740378847,0,71.72612824766699,488.5165605076626,355.63919709413506,132.87736341352752,10.304380702972413,1.8983885874898003
2024-01-01 07:00:00,0.6095010042190552,208.27374267578125,218.31082153320312,0,1.837946891784668,1.9806060791015625,1.8737726211547852,115.18489837646484,3.805044412612915,114.90181732177734,2.268606185913086,1,2.2412843704223633,81.45816802978516,0.07629510760307312,83.74913787841797,59.407058887607874,64.51355723318188,60.762559473263345,72.86554683315914,0,72.16536958375481,506.35660375514465,376.250136269347,130.10646748579762,10.15428673028946,1.8048264779182632
2024-01-01 08:00:00,0.6319072842597961,211.09288024902344,216.64466857910156,0,1.8384567499160767,1.981364130973816,1.8779268264770508,114.76759338378906,3.720149517059326,114.91426849365234,2.2511301040649414,1,2.233079433441162,81.00404357910156,0.0553380511701107,83.50397491455078,59.426720425749544,64.53872768643456,60.91639155551536,72.41964538994254,0,71.95175611560288,507.66002909736926,371.7384037001835,135.92162539718578,10.527575355768203,1.8663706569606866
2024-01-01 09:00:00,0.6248342990875244,209.2362823486328,207.38536071777344,0,1.843113899230957,1.9817391633987427,1.8771204948425293,110.29549407958984,3.9590048789978027,109.73419952392578,2.250814199447632,1,2.219862699508667,79.0235366821289,0.062151141464710236,80.91395568847656,59.60580949784865,64.55117319204872,60.886585987897845,72.41152138372112,0,71.60434126614938,495.16239337459467,354.18947153180136,140.9729218427933,10.409739422798157,1.8920591720766622
2024-01-01 10:00:00,0.6142410635948181,207.60693359375,210.40664672851562,0,1.8382024765014648,1.9884133338928223,1.925150990486145,109.5057144165039,3.832339286804199,110.24465942382812,2.262209892272949,1,2.234071969985962,79.05095672607422,0.07629510760307312,81.3290023803711,59.41691630375647,64.77187132215123,62.61845338050757,72.70314501028733,0,71.9776799769846,497.7385268139941,357.3808703454084,140.35765646858567,10.23325611948967,1.850355158659935
2024-01-01 11:00:00,0.6361519694328308,210.2892832375743,227.3136444091797,0,1.8429722785949707,1.9908424615859985,2.0713672637939453,1.3893805742263794,109.43770599365234,106.71343994140625,2.1149861812591553,2.2075490951538086,2.240783452987671,0.21667811274528503,74.9786605834961,79.76644134521484,59.60037686845472,64.85182920737716,67.39625728376114,68.69362998749043,71.2769227572991,72.15237316153129,524.4697585161927,346.74784786762626,177.7219106485664,10.598291810750961,1.8186868689362898
2024-01-01 12:00:00,0.6252821087837219,209.90310668945312,203.61639404296875,0,1.8480315208435059,1.9866247177124023,2.0596444606781006,1.2625948190689087,109.87966918945312,107.8074951171875,2.024937868118286,2.2211380004882812,2.224000930786133,0.21667811274528503,75.8771743774414,79.68260955810547,59.79393517485009,64.71287170826852,67.03821310242937,65.95388045769852,71.63804403275566,71.71356278110295,493.7148175110751,348.4678239698277,145.24699354124743,10.417199932336807,1.8989666922226438
2024-01-01 13:00:00,0.6139906644821167,211.08023265948512,211.512939453125,0,1.839505910873413,1.9721933603286743,1.00250244140625,110.82096862792969,5.813503265380859,107.68167114257812,2.2579925060272217,2.062201738357544,2.243598699569702,78.03311157226562,0.07629510760307312,79.822998046875,59.46714468135197,64.23292129439092,0.3252617499192902,72.59556229540202,67.11666600153808,72.22534006010896,498.8450566327996,364.1967710101933,134.6482856226063,10.229084470272065,1.845498096219792
2024-01-01 14:00:00,0.6315488219261169,199.871826171875,202.87632751464844,0,1.8355648517608643,1.9711307287216187,1.00250244140625,115.06307983398438,5.940229892730713,106.9634017944336,2.262845754623413,1.001598834991455,2.243800163269043,81.14442443847656,0.06215367466211319,79.68260955810547,59.315056122749986,64.19730306517295,0.3252617499192902,72.71933064661444,0.20800048588604023,72.23055467169382,474.33600815770046,362.7082783530716,111.62772980462887,10.521603373289109,1.9963576184610325
2024-01-01 15:00:00,0.6340726613998413,200.96192932128906,203.61639404296875,0,1.8348382711410522,1.9760974645614624,1.00250244140625,114.2378158569336,5.603878021240234,107.20188903808594,2.3044164180755615,1.0013729333877563,2.2473909854888916,82.0077133178711,0.07629510760307312,79.822998046875,59.286945478291365,64.36345361724811,0.3252617499192902,73.75811538186015,0.17865210339132076,72.32334134619998,477.586869428925,368.4240603740875,109.16280905483751,10.563650538921356,1.9906923941182817
2024-01-01 16:00:00,0.6324864029884338,208.81300354003906,224.6814727783203,0,1.8422640562057495,1.9782121181488037,1.00250244140625,110.2671127319336,6.025052547454834,104.88520812988281,2.2757761478424072,1.001146912574768,2.2991254329681396,78.46556854248047,0.062166597694158554,79.822998046875,59.57319661599794,64.43394118584963,0.3252617499192902,73.04650688504537,0.14927497863482964,73.6279883785839,515.559350001598,360.8639536279983,154.6953963735997,10.537223473787307,1.8394586629801557
2024-01-01 17:00:00,0.6218752264976501,210.9188094541251,214.14511108398438,0,1.8417112827301025,1.9949380159378052,1.852655291557312,110.50592803955078,5.954856872558594,107.06524658203125,2.280721426010132,1.0009208917617798,2.2581400871276855,79.61009979248047,0.07629510760307312,79.68260955810547,59.551967677257245,64.98619877141209,59.969908487638676,73.17065595120911,0.11988458641301719,72.59933377604757,508.95562742107194,359.94371223856785,149.01191518250408,10.360441273450851,1.8320648488264881
